Name,Latitude,Longitude,Earliest age in sample,Latest age in sample,Modern Country,Direct / indirect,Exact Age / Minimum Age / Max Age,Calibrated,Kind,Figurative
"Abri Castanet, Dordogne, France",44.99927,1.10126,37205,36385,France,Indirect,Minimum Age,No,Petroglyphs,Yes
"Altamira, Spain
",43.37745,-4.12235,36160,2850,Spain,Direct,Exact Age,N/A,"Petroglyphs
Decorated ceiling in cave","Yes, not all. One is linear red line.

"
"Altxerri B, Spain",43.23690,-2.14856,39479,34689,Spain,Indirect,Minimum age,Yes,Painting,Yes
"Anbarndarr I. Australia/Anbarndarr II,  Australia/Gunbirdi I, Gunbirdi II, Gunbirdi III, Northern Territory Australia",-12.25521,133.64585,1704,111,Australia,Direct,Exact age,Yes,Beeswax,No
"Anta de Serramo, Vimianzo, A Coruña, Galicia, Spain ",43.11005,-9.03242,6950,6950,Spain,Direct,Exact age,Yes,Painting,N/A
"Apollo 11 Cave, ǁKaras Region, Southwest Namibia",-26.84296,17.29028,32332,26300,Namibia,Indirect,Minimum age,Unknown,Painted fragments,Yes
"ARN‐0063, Namarrgon Lightning Man, Northern Territory, Australia",-12.86552,132.81400,1021,145,Australia,Direct,Exact age,Yes,Beeswax,Yes
"Bald Rock, Wellington Range,Northern Territory Australia",-11.80000,133.15000,386,174,Australia,Direct,Exact age,Yes,Beeswax,N/A
"Baroalba Springs, Kakadu, Northern Territory, Australia",-12.67701,132.48090,7876,7876,Australia,Indirect,Minimum age,Yes,Painting,-
"Bhimbetka, India",22.93955,77.61243,5953,1100,India,Direct,Exact Age,No,Painting,Yes
"Biggarsberg, South Africa",-26.28667,28.04722,4050,970,South Africa,Direct,Exact age,Yes,Painting,N/A
"Bighorn Basin, Wyoming and Montana, USA",44.37996,-108.03899,6862,0,USA,Direct,Exact age,Yes,Petroglyphs,N/A
"Bindu, Kakadu, Northern Territory, Australia",-12.67701,132.48090,183,117,Australia,Direct,Exact age,Yes,Beeswax dots and lines,No
"Bush Turkey Dreaming Site, Western Australia",-23.96000,122.97000,60,60,Australia,Direct,Exact age,Yes,Painting,"Yes
"
"Cape York, Australia",-10.70000,142.51667,678,725,Australia,Direct,Exact age,Unknown,Painting,N/A
"Casota do Paramo, A Coruña, Spain",42.70464,-8.93086,5400,5400,Spain,Direct,Maximum Age,Yes,Painting,No
"Cave of Beasts, Gilf Kebir, Egypt",23.44139,25.83972,8450,6350,Egypt,Indirect,N/A,Unknown,Painting,Yes
"Cave of Bees, Matopos, Zimbabwe",-20.55722,28.51250,12462,10500,South Africa,Direct,Exact age,Unknown,Painting,N/A
"Cave of Cougnac, France",44.75699,1.37596,28007,24000,France,Direct,Exact Age,Unknown,Painting,Yes (2 deers)
"Cave of El Castillo, Spain",43.29237,-3.96558,41400,22880,Spain,Direct,Minimum Age,Yes,"Pike: Painting
","Pike: Some, most are disk-shapes
Valladas 2001: Yes
Valladas 1992: Yes"
"Cave of Niaux, France",42.82010,1.59349,15390,12890,France,Direct,Exact age,Unknown. Likely no.,Painting,Yes
"Chauvet-Pont-d'Arc Cave, France",44.38724,4.41587,36292,30340,France,Direct,Exact age,Unknown.,Painting,Yes
"Chifubwa Stream Shelter, Zambia",-12.20000,26.68333,7227,6300,Zambia,Indirect,Minimum age,No,Engraving,No
"Coliboaia Cave, Romania",46.53089,22.59733,35917,32000,Romania,Direct,Exact age,Unknown,Drawings,Yes
"Cosquer cave, Calanque de Morgiou, France",43.21093,5.44590,32276,21567,France,Direct,Exact Age,No,Painting,Yes
"Coto dos Muros, Baixo Miño, Northwest Iberia",41.99952,-8.77015,6340,4020,Spain,Direct,Maximum Age,Yes,Painting,N/A
"Covaciella, Spain",43.31823,-4.87526,17113,16881,Spain,Yes,Exact age,Yes,Painting,Yes
"Deighton Lady, Jowalbinna, Queensland Australia",-15.53330,144.78330,6483,2905,Australia,Indirect,Minimum age,Yes,Engraving,No
"Djarrng, West Arnhem Land, Northern Territory, Australia",-12.09183,132.89050,720,119,Australia,Direct,Exact age,Yes,Beeswax,Yes
"Djulirri, Arnhem Land, Northerm Territory, Australia",-12.09183,132.89050,383,172,Australia,Direct,Exact age,Yes,Beeswax,"Yes
"
"East Alligator River, Northern Territory, Australia",-12.52543,133.06016,4287,122,Australia,Direct,Exact age,Yes,Beeswax,No
"Echidna's Rest, Queensland, Australia",-27.54235,153.07315,1291,Modern,Australia,Direct,Exact age,Yes,Drawings and engraving,No
"El Hosh, Egypt (6km north of Gebel Silsila)",24.64261,32.92968,7550,2325,Egypt,Direct,Exact Age,Yes,Petroglyphs,Yes 
"Emu Cave, New South Wales, Australia",-33.78234,150.59043,1857,1857,Australia,Indirect,Minimum age,Yes,Engraving,Yes
"Fariseu, Coa Valley, Portugal",41.07999,-7.11178,18400,10800,Portugal,Indirect,Minimum age,No,Petroglyphs,Yes 
"Fetra Hé Cave, Lifou Island, New Caledonia",-21.03850,167.24052,2570,983,New Caledonia,Direct,Exact age,Yes,Hand stencils,Some 
"Forno dos muros, portugal",40.22424,-8.63622,5840,5505,Portugal,Direct,Exact age,Yes,Painting,N/A
"Foz Coa, Portugal",41.08225,-7.14036,1955,100,Portugal,Indirect,Minimum age,N/A,Petroglyphs,Yes
"Fuente de el Salin, Muñorrodero Spain",43.36443,-4.48298,26596,22340,Spain,Indirect,Minimum age,Unknown,Painting,N/A
