ya,mobility
14000,33.18381374
13900,31.81043184
13800,30.30521578
13700,29.2285173
13600,26.07860778
13500,21.73441184
13400,16.44073853
13300,12.35360792
13200,9.594813974
13100,8.299854188
13000,5.310859243
12900,2.972713538
12800,1.503316568
12700,0.680698486
12600,0.245758792
12500,0.136809044
12400,0.136492461
12300,0.152909546
12200,6.084542653
12100,5.266040148
12000,2.250859274
11900,0.017457286
11800,0.000135678
11700,4.52E-05
11600,0.000135678
11500,4.52E-05
11400,0.000407035
11300,0.000904523
11200,0.00198995
11100,0.000904523
11000,0
10900,0
10800,0
10700,0
10600,0
10500,0
10400,0
10300,0
10200,0
10100,0
10000,0
9900,0
9800,0
9700,0
9600,0
9500,0
9400,0
9300,0
9200,0.000859296
9100,0.178236179
9000,5.923311499
8900,12.9860049
8800,16.42762295
8700,18.90140182
8600,21.1943214
8500,22.88369826
8400,22.98030128
8300,22.85800982
8200,26.50056757
8100,30.88845195
8000,34.59043684
7900,38.05891922
7800,37.47211018
7700,34.96083885
7600,31.37734642
7500,27.98601982
7400,26.80109521
7300,22.88301987
7200,17.750035
7100,13.83729634
7000,14.86162297
6900,18.52068826
6800,18.09447721
6700,15.03501995
6600,15.12307523
6500,17.58654254
6400,20.70881889
6300,21.86109023
6200,21.35618572
6100,20.64034653
6000,21.05954753
5900,21.19775858
5800,22.74444701
5700,26.31780878
5600,30.07754744
5500,34.72769815
5400,35.72222075
5300,35.65822577
5200,36.68707501
5100,38.93996946
5000,44.42029101
4900,47.82532113
4800,48.76462263
4700,47.77995932
4600,44.66939654
4500,42.24260762
4400,42.00204983
4300,41.94126591
4200,42.16703475
4100,41.01268301
4000,39.20219056
3900,35.94346698
3800,29.25791428
3700,26.13640677
3600,28.87584393
3500,23.91042187
3400,23.5262259
3300,26.42323089
3200,29.52090423
3100,32.57362279
3000,31.83625596
2900,30.60655748
2800,29.36654745
2700,34.80426598
2600,41.43717547
2500,58.19499439
2400,63.53601947
2300,66.17288376
2200,65.65518025
2100,67.09395913
2000,70.87906964
