ya,mobility,,,,
37000,18.09,,,,
36900,18.09,,,,
36800,18.09,,,,
36700,18.09,,,,
36600,18.09,,,,
36500,18.09,,,,
36400,18.09,,,,
36300,18.09,,,,
36200,18.09,,,,
36100,18.09,,,,
36000,18.09,,,,
35900,18.09,,,,
35800,18.09,,,,
35700,18.09,,,,
35600,18.09,,,,
35500,18.09,,,,
35400,18.09,,,,
35300,18.09,,,,
35200,18.09,,,,
35100,18.09,,,,
35000,18.09,,,,
34900,18.09,,,,
34800,18.09,,,,
34700,18.09,,,,
34600,18.09,,,,
34500,18.09,,,,
34400,18.09,,,,
34300,18.09,,,,
34200,18.09,,,,
34100,18.09,,,,
34000,18.09,,,,
33900,18.09,,,,
33800,18.09,,,,
33700,18.09,,,,
33600,18.09,,,,
33500,18.09,,,,
33400,18.09,,,,
33300,18.09,,,,
33200,18.09,,,,
33100,18.09,,,,
33000,18.09,,,,
32900,18.09,,,,
32800,18.09,,,,
32700,18.09,,,,
32600,18.09,,,,
32500,18.09,,,,
32400,18.09,,,,
32300,18.09,,,,
32200,18.09,,,,
32100,18.09,,,,
32000,18.09,,,,
31900,18.09,,,,
31800,18.09,,,,
31700,18.09,,,,
31600,18.09,,,,
31500,18.09,,,,
31400,18.09,,,,
31300,18.09,,,,
31200,18.09,,,,
31100,18.09,,,,
31000,18.09,,,,
30900,18.09,,,,
30800,18.09,,,,
30700,18.09,,,,
30600,18.09,,,,
30500,18.09,,,,
30400,18.09,,,,
30300,18.09,,,,
30200,18.09,,,,
30100,18.09,,,,
30000,18.09,,,,
29900,18.09,,,,
29800,18.09,,,,
29700,18.09,,,,
29600,18.09,,,,
29500,18.09,,,,
29400,18.09,,,,
29300,18.09,,,,
29200,18.09,,,,
29100,18.09,,,,
29000,18.09,,,,
28900,18.09,,,,
28800,18.09,,,,
28700,18.09,,,,
28600,18.09,,,,
28500,18.09,,,,
28400,18.09,,,,
28300,18.09,,,,
28200,18.09,,,,
28100,18.09,,,,
28000,18.09,,,,
27900,18.09,,,,
27800,18.09,,,,
27700,18.09,,,,
27600,18.09,,,,
27500,18.09,,,,
27400,18.09,,,,
27300,18.09,,,,
27200,18.09,,,,
27100,18.09,,,,
27000,18.09,,,,
26900,18.09,,,,
26800,18.09,,,,
26700,18.09,,,,
26600,18.09,,,,
26500,18.09,,,,
26400,18.09,,,,
26300,18.09,,,,
26200,18.09,,,,0.118115942
26100,18.09,,,,
26000,18.09,,,,
25900,17.97188406,,,,
25800,17.85376812,,,,
25700,17.73565217,,,,
25600,17.61753623,,,,
25500,17.49942029,,,,
25400,17.38130435,,,,
25300,17.26318841,,,,
25200,17.14507246,,,,
25100,17.02695652,,,,
25000,16.90884058,,,,
24900,16.79072464,,,,
24800,16.6726087,,,,
