,Name,Latitude,Longitude,Earliest age in sample,Latest age in sample,Modern Country,Direct / indirect,Exact Age / Minimum Age / Max Age,Calibrated,Kind,Figurative,Nearest hexagon,Nearest longitude,Nearest latitude,Adjacent cell count,Adjacent population,Product-based cell count,Product-based population,Gravity-based cell count,Gravity-based population
0,"Abri Castanet, Dordogne, France",44.99927,1.1012600000000001,37205,36385,France,Indirect,Minimum Age,No,Petroglyphs,Yes,6738,0.72878,44.7,13251,23524274,638,2200906,2,10326
1,"Altamira, Spain
",43.37745,-4.12235,36160,2850,Spain,Direct,Exact Age,,"Petroglyphs
Decorated ceiling in cave","Yes, not all. One is linear red line.

",5864,355.7222,43.664,13251,23281334,639,2167692,1,4872
2,"Altxerri B, Spain",43.2369,-2.14856,39479,34689,Spain,Indirect,Minimum age,Yes,Painting,Yes,6072,357.9052,42.738,13251,23346080,645,2185046,1,4524
3,"Anbarndarr I. Australia/Anbarndarr II,  Australia/Gunbirdi I, Gunbirdi II, Gunbirdi III, Northern Territory Australia",-12.25521,133.64585,1704,111,Australia,Direct,Exact age,Yes,Beeswax,No,13461,133.75,-12.313,13251,35861594,621,2543256,92,486540
4,"Anta de Serramo, Vimianzo, A Coruña, Galicia, Spain ",43.11005,-9.03242,6950,6950,Spain,Direct,Exact age,Yes,Painting,,5239,351.4548,43.465,13251,36656406,863,3261708,19,100670
5,"Apollo 11 Cave, ǁKaras Region, Southwest Namibia",-26.842959999999998,17.29028,32332,26300,Namibia,Indirect,Minimum age,Unknown,Painted fragments,Yes,2361,17.578,-27.31,13251,22756856,1713,8299444,1,2624
6,"ARN‐0063, Namarrgon Lightning Man, Northern Territory, Australia",-12.86552,132.814,1021,145,Australia,Direct,Exact age,Yes,Beeswax,Yes,13193,132.66,-12.526,13251,35901686,609,2512010,44,231204
7,"Bald Rock, Wellington Range,Northern Territory Australia",-11.8,133.15,386,174,Australia,Direct,Exact age,Yes,Beeswax,,13460,133.21,-11.486,13251,35843994,629,2544132,16,84818
8,"Baroalba Springs, Kakadu, Northern Territory, Australia",-12.677010000000001,132.4809,7876,7876,Australia,Indirect,Minimum age,Yes,Painting,-,13193,132.66,-12.526,13251,36692298,659,2673652,7,35964
9,"Bhimbetka, India",22.93955,77.61243,5953,1100,India,Direct,Exact Age,No,Painting,Yes,5558,77.508,23.516,13251,36146438,1122,5013962,504,2668974
10,"Biggarsberg, South Africa",-26.28667,28.047220000000003,4050,970,South Africa,Direct,Exact age,Yes,Painting,,4257,27.677,-26.36,13251,36013448,1667,7995452,8,41884
11,"Bighorn Basin, Wyoming and Montana, USA",44.37996,-108.03898999999998,6862,0,USA,Direct,Exact age,Yes,Petroglyphs,,13529,252.0,44.745,13251,36662132,2718,12468506,1,3504
12,"Bindu, Kakadu, Northern Territory, Australia",-12.677010000000001,132.4809,183,117,Australia,Direct,Exact age,Yes,Beeswax dots and lines,No,13193,132.66,-12.526,13251,35854270,630,2548564,35,186214
13,"Bush Turkey Dreaming Site, Western Australia",-23.96,122.97,60,60,Australia,Direct,Exact age,Yes,Painting,"Yes
",9373,122.91,-23.741,13251,35857456,630,2544858,1,3732
14,"Cape York, Australia",-10.7,142.51667,678,725,Australia,Direct,Exact age,Unknown,Painting,,1037,142.21,-10.366,13251,35907480,1,0,1,0
15,"Casota do Paramo, A Coruña, Spain",42.704640000000005,-8.930860000000001,5400,5400,Spain,Direct,Maximum Age,Yes,Painting,No,5031,350.9371,42.453,13251,36033640,832,3097991,1,0
16,"Cave of Beasts, Gilf Kebir, Egypt",23.44139,25.83972,8450,6350,Egypt,Indirect,,Unknown,Painting,Yes,10364,26.087,23.915,13251,36618756,1,0,1,0
17,"Cave of Bees, Matopos, Zimbabwe",-20.55722,28.5125,12462,10500,South Africa,Direct,Exact age,Unknown,Painting,,5094,28.874,-20.477,13251,29354786,1669,8113386,9,47332
18,"Cave of Cougnac, France",44.75699,1.37596,28007,24000,France,Direct,Exact Age,Unknown,Painting,Yes (2 deers),6738,0.72878,44.7,13251,22981268,638,2106868,1,5026
19,"Cave of El Castillo, Spain",43.29237,-3.96558,41400,22880,Spain,Direct,Minimum Age,Yes,"Pike: Painting
","Pike: Some, most are disk-shapes
Valladas 2001: Yes
Valladas 1992: Yes",5864,355.7222,43.664,13251,23198916,646,2199838,1,4952
20,"Cave of Niaux, France",42.8201,1.59349,15390,12890,France,Direct,Exact age,Unknown. Likely no.,Painting,Yes,6740,2.0948,42.738,13251,24962022,772,2770548,1,4318
21,"Chauvet-Pont-d'Arc Cave, France",44.387240000000006,4.41587,36292,30340,France,Direct,Exact age,Unknown.,Painting,Yes,7445,5.0983,44.608,13251,23278248,638,2165664,1,3642
22,"Chifubwa Stream Shelter, Zambia",-12.2,26.683329999999998,7227,6300,Zambia,Indirect,Minimum age,No,Engraving,No,5504,26.696,-12.662,13251,36646204,1687,8123466,672,3566312
23,"Coliboaia Cave, Romania",46.53089,22.59733,35917,32000,Romania,Direct,Exact age,Unknown,Drawings,Yes,10915,22.768,46.689,13251,23277070,634,2155572,1,3764
24,"Cosquer cave, Calanque de Morgiou, France",43.21093,5.4459,32276,21567,France,Direct,Exact Age,No,Painting,Yes,7446,5.702,43.612,13251,22772022,618,2083112,1,5408
25,"Coto dos Muros, Baixo Miño, Northwest Iberia",41.999520000000004,-8.77015,6340,4020,Spain,Direct,Maximum Age,Yes,Painting,,5031,350.9371,42.453,13251,36145152,852,3172854,1,0
26,"Covaciella, Spain",43.31823,-4.87526,17113,16881,Spain,Yes,Exact age,Yes,Painting,Yes,5864,355.7222,43.664,13251,23814392,678,2315664,1,4736
27,"Deighton Lady, Jowalbinna, Queensland Australia",-15.5333,144.7833,6483,2905,Australia,Indirect,Minimum age,Yes,Engraving,No,887,144.62,-15.526,13251,36665592,630,2483318,11,58298
