clusterid,17025ya,16925ya,16825ya,16725ya,16625ya,16525ya,16425ya,16325ya,16225ya,16125ya,16025ya,15925ya,15825ya,15725ya,15625ya,15525ya,15425ya,15325ya,15225ya,15125ya,15025ya,14925ya,14825ya,14725ya,14625ya,14525ya,14425ya,14325ya,14225ya,14125ya,14025ya,13925ya,13825ya,13725ya,13625ya,13525ya,13425ya,13325ya,13225ya,13125ya,13025ya,12925ya,12825ya,12725ya,12625ya,12525ya,12425ya,12325ya,12225ya,12125ya,12025ya,11925ya,11825ya,11725ya,11625ya,11525ya,11425ya,11325ya,11225ya,11125ya,11025ya,10925ya,10825ya,10725ya,10625ya,10525ya,10425ya,10325ya,10225ya,10125ya,10025ya,9925ya,9825ya,9725ya,9625ya,9525ya,9425ya,9325ya,9225ya,9125ya,9025ya,8925ya,8825ya,8725ya,8625ya,8525ya,8425ya,8325ya,8225ya,8125ya,8025ya,7925ya,7825ya,7725ya,7625ya,7525ya,7425ya,7325ya,7225ya,7125ya,7025ya,6925ya,6825ya,6725ya,6625ya,6525ya,6425ya,6325ya,6225ya,6125ya,6025ya,5925ya,5825ya,5725ya,5625ya,5525ya,5425ya,5325ya,5225ya,5125ya,5025ya,4925ya,4825ya,4725ya,4625ya,4525ya,4425ya,4325ya,4225ya,4125ya,4025ya,3925ya,3825ya,3725ya,3625ya,3525ya,3425ya,3325ya,3225ya,3125ya,3025ya,2925ya,2825ya,2725ya,2625ya,2525ya,2425ya,2325ya,2225ya,2125ya
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4208448.0,4631374.0,4719574.0,4789300.0,4283100.0,4317980.0,4315424.0,4337286.0,4523550.0,4345336.0,4328444.0,4330336.0,4296720.0,4306522.0,4124886.0,4122048.0,4131854.0,4124210.0,4137460.0,4124874.0,4128438.0,4126412.0,4117836.0,4125878.0,3972064.0,3961154.0,3967108.0,3967368.0,3968662.0,3974288.0,3973462.0,3971566.0,3967650.0,3960474.0,3481926.0,3480080.0,3489468.0,3484816.0,3488494.0,3482722.0,3485950.0,3486036.0,3487784.0,3490342.0,3371248.0,3372002.0,3368520.0,3374048.0,3365620.0,3369700.0,3375032.0,3370916.0,3366958.0,3371084.0,2183290.0,2189058.0,2188340.0,2181688.0,2185014.0,2183958.0,2189154.0,2188766.0,2180914.0,2188032.0,1618960.0,1624568.0,1616698.0,1642904.0,1651944.0,1655790.0,1655946.0,1653800.0,1638330.0,1632524.0,1630102.0,1602678.0,1602628.0,1599192.0,1603908.0,1606868.0,1597468.0,1602122.0,1600600.0,1603342.0,1556744.0,1576162.0,1572706.0,1563550.0,1564566.0,1570834.0,1581488.0,1596788.0,1644514.0,1658830.0,1582502.0,1588300.0,1583932.0,1610030.0,1622490.0,1626506.0,1773970.0,1622154.0,1621950.0,1620492.0,1775948.0,1634114.0,1781976.0,1636304.0,1636350.0,1625094.0,1618704.0,1619356.0,1624074.0,1604428.0,1584988.0,1587692.0,1583444.0,1585334.0,1589862.0,1583290.0,1585414.0,1586580.0,1588374.0,1762262.0,1599580.0,1741114.0,1604340.0,1602996.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2221074.0,2329138.0,2385094.0,2439968.0,2433696.0,2456870.0,2475708.0,2479892.0,2493672.0,2485846.0,2477322.0,2476740.0,2459532.0,2460728.0,2500672.0,2494586.0,2502852.0,2493746.0,2497252.0,2506190.0,2495546.0,2494194.0,2498318.0,2496250.0,2523452.0,2530696.0,2535536.0,2530706.0,2525432.0,2530346.0,2524372.0,2529854.0,2536538.0,2534990.0,2519450.0,2522984.0,2518052.0,2521664.0,2530214.0,2514172.0,2523046.0,2513580.0,2521114.0,2527406.0,2505990.0,2506654.0,2505644.0,2513420.0,2508568.0,2507016.0,2510626.0,2504812.0,2508586.0,2509328.0,2507270.0,2509706.0,2509190.0,2508202.0,2511562.0,2508186.0,2508056.0,2510056.0,2508724.0,2506246.0,2510270.0,2516284.0,2514950.0,2557252.0,2580202.0,2609314.0,2606786.0,2594876.0,2554114.0,2527116.0,2488794.0,2436294.0,2449308.0,2435290.0,2445816.0,2446234.0,2435006.0,2437122.0,2441770.0,2449016.0,2331690.0,2353954.0,2347338.0,2326396.0,2343268.0,2342294.0,2360546.0,2391536.0,2445394.0,2455432.0,2433938.0,2436156.0,2438360.0,2439076.0,2461352.0,2481988.0,2488534.0,2485754.0,2461532.0,2449402.0,2496932.0,2500574.0,2498098.0,2504962.0,2496662.0,2468174.0,2466796.0,2468816.0,2473020.0,2479080.0,2421040.0,2412632.0,2409874.0,2420440.0,2422930.0,2421124.0,2420812.0,2410508.0,2418894.0,2494714.0,2474068.0,2480302.0,2475850.0,2480888.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1199832.0,1430376.0,1571172.0,1636618.0,2387096.0,2453794.0,2505988.0,2542684.0,2567620.0,2552150.0,2539154.0,2521412.0,2451028.0,2449904.0,2198358.0,2193728.0,2199278.0,2196502.0,2211314.0,2187524.0,2200372.0,2186204.0,2203858.0,2212366.0,2423232.0,2420532.0,2420340.0,2416248.0,2425594.0,2417190.0,2418990.0,2429436.0,2411434.0,2433638.0,2035764.0,2030124.0,2037912.0,2041992.0,2023734.0,2036316.0,2056116.0,2034056.0,2033890.0,2020220.0,2087216.0,2101684.0,2089976.0,2101064.0,2100680.0,2101964.0,2084488.0,2096094.0,2100510.0,2097494.0,1937232.0,1933074.0,1948680.0,1941874.0,1936194.0,1941244.0,1928882.0,1938020.0,1933320.0,1934302.0,1653892.0,1659924.0,1654834.0,1739406.0,1796936.0,1836526.0,1822650.0,1797278.0,1761120.0,1687796.0,1519282.0,847100.0,839828.0,830318.0,840444.0,847022.0,840106.0,834092.0,839148.0,828686.0,861714.0,957000.0,866364.0,861194.0,865230.0,870424.0,1406774.0,1567556.0,1671708.0,1745844.0,1857762.0,1862438.0,1862408.0,1874998.0,1939392.0,1971028.0,2070132.0,1968152.0,1942912.0,1927466.0,1848118.0,1855778.0,1839264.0,1837474.0,1820406.0,1780196.0,1799548.0,1795296.0,1802318.0,1801002.0,1686188.0,1693488.0,1698950.0,1689692.0,1690710.0,1694810.0,1692892.0,1694642.0,1682814.0,1819240.0,2047356.0,2105666.0,2099534.0,2127952.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419468.0,439268.0,479406.0,490428.0,434228.0,432468.0,445040.0,461754.0,461788.0,462370.0,460938.0,448578.0,438402.0,443976.0,446528.0,447392.0,446806.0,447004.0,447514.0,438332.0,438224.0,446340.0,441718.0,442476.0,409992.0,408606.0,411522.0,410852.0,408776.0,411418.0,410198.0,409512.0,411236.0,408998.0,384202.0,384594.0,383872.0,383532.0,383510.0,384478.0,384474.0,384848.0,383340.0,383940.0,379214.0,379022.0,378868.0,378282.0,379088.0,378634.0,379394.0,379880.0,377462.0,380054.0,369850.0,345326.0,369910.0,349862.0,344556.0,344736.0,371010.0,369454.0,368280.0,370570.0,362020.0,360742.0,362240.0,361610.0,362238.0,363104.0,361638.0,363846.0,362670.0,362392.0,357994.0,358072.0,357450.0,358522.0,359322.0,359746.0,359416.0,360148.0,361016.0,358222.0,360136.0,359284.0,360634.0,358786.0,359510.0,358548.0,358806.0,357914.0,358916.0,360788.0,358536.0,358900.0,359152.0,359332.0,359566.0,359622.0,357768.0,359968.0,360072.0,359564.0,359438.0,360886.0,359394.0,359360.0,360336.0,359910.0,358406.0,358688.0,359410.0,358544.0,359446.0,359666.0,359004.0,361200.0,360094.0,359516.0,360036.0,359960.0,361832.0,360238.0,360102.0,361322.0,358462.0,358950.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254218.0,268608.0,274000.0,273070.0,273062.0,272626.0,273418.0,276422.0,284552.0,281576.0,278630.0,275560.0,273884.0,274122.0,273190.0,273998.0,274486.0,272878.0,273388.0,274834.0,275002.0,273658.0,272778.0,274588.0,275054.0,274174.0,273064.0,274000.0,273074.0,274568.0,273794.0,273402.0,273888.0,272864.0,273518.0,273454.0,273562.0,274486.0,273296.0,273612.0,274376.0,273532.0,273808.0,274218.0,273206.0,274400.0,273784.0,274498.0,273582.0,273504.0,273130.0,274292.0,274218.0,274974.0,273766.0,273942.0,276196.0,273772.0,272636.0,273492.0,273708.0,273554.0,273564.0,275224.0,274984.0,273778.0,277618.0,282528.0,283254.0,283634.0,284362.0,283744.0,283068.0,278210.0,272706.0,273300.0,272508.0,273370.0,272826.0,273816.0,273286.0,273740.0,273916.0,274272.0,269470.0,272546.0,272482.0,268498.0,271722.0,273822.0,272898.0,274008.0,272294.0,278916.0,274040.0,273036.0,275916.0,279332.0,280792.0,280292.0,279336.0,280308.0,280322.0,278994.0,279014.0,279882.0,279958.0,279224.0,278656.0,277302.0,276594.0,274448.0,278698.0,273524.0,269138.0,269202.0,269412.0,269524.0,269234.0,267414.0,268220.0,268016.0,269034.0,276506.0,274588.0,275196.0,273936.0,275096.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245072.0,253598.0,254398.0,254840.0,247862.0,248672.0,248802.0,249120.0,250736.0,249146.0,249930.0,250040.0,249632.0,249582.0,250150.0,250110.0,249538.0,248488.0,248844.0,249260.0,248566.0,248532.0,249622.0,248978.0,244220.0,244578.0,243730.0,244772.0,244940.0,244234.0,243730.0,243168.0,244536.0,244672.0,237634.0,238860.0,238024.0,239150.0,238818.0,239566.0,237892.0,240892.0,238774.0,238998.0,231808.0,231788.0,231156.0,231738.0,233272.0,231788.0,231090.0,232296.0,231728.0,231198.0,229144.0,227634.0,228218.0,228512.0,228010.0,228350.0,227982.0,228776.0,228618.0,227510.0,133416.0,132560.0,132230.0,132794.0,133022.0,132416.0,132736.0,133188.0,132692.0,133234.0,132556.0,131640.0,132644.0,132482.0,132480.0,131542.0,133052.0,133298.0,132466.0,132772.0,132506.0,132602.0,132652.0,133976.0,131792.0,133302.0,133162.0,132756.0,132836.0,133164.0,133026.0,132694.0,132484.0,132554.0,132360.0,132148.0,132750.0,133546.0,132058.0,132166.0,133300.0,132348.0,132908.0,132988.0,132972.0,131886.0,132978.0,133278.0,133594.0,132040.0,132724.0,133400.0,133298.0,133170.0,133030.0,132734.0,133404.0,132494.0,132688.0,131236.0,132968.0,132574.0,131794.0,132366.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90184.0,95616.0,95352.0,95126.0,94798.0,94366.0,94488.0,96070.0,94728.0,94098.0,94144.0,93914.0,94514.0,95014.0,92456.0,92718.0,92330.0,92012.0,92386.0,92940.0,92034.0,92870.0,91912.0,91828.0,80716.0,76500.0,80608.0,80186.0,77126.0,80418.0,81172.0,80066.0,76588.0,79930.0,89184.0,89334.0,89536.0,88840.0,88710.0,88652.0,88838.0,89490.0,88394.0,88836.0,80508.0,81100.0,81244.0,81046.0,81312.0,81320.0,80794.0,80304.0,81012.0,80756.0,70044.0,66520.0,69868.0,69736.0,70228.0,73630.0,69668.0,70406.0,73830.0,70322.0,57490.0,57468.0,57278.0,71562.0,70286.0,74332.0,74260.0,73622.0,70708.0,60648.0,64872.0,58572.0,58212.0,58770.0,58258.0,57706.0,58388.0,58682.0,57998.0,58368.0,42756.0,42734.0,42810.0,42624.0,42736.0,42618.0,46968.0,50494.0,60352.0,59886.0,51216.0,46778.0,56358.0,55992.0,59440.0,59182.0,59426.0,59204.0,60004.0,56976.0,64398.0,64864.0,64394.0,65222.0,64638.0,64262.0,65238.0,64572.0,64630.0,64704.0,65856.0,66240.0,65340.0,65376.0,65252.0,66234.0,64938.0,65334.0,65690.0,65088.0,65220.0,65830.0,66016.0,64838.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
